"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"0 s","Permanent Residence","2000 ","0","0","0",
"0 s","Permanent Residence","2001 ","0","0","0",
"0 s","Permanent Residence","2002 ","0","0","0",
"0 s","Permanent Residence","2003 ","2","1","1",
"0 s","Permanent Residence","2004 ","3","1","2",
"0 s","Permanent Residence","2005 ","0","0","0",
"0 s","Permanent Residence","2006 ","2","2","0",
"0 s","Permanent Residence","2007 ","1","1","0",
"0 s","Permanent Residence","2008 ","3","2","1",
"0 s","Permanent Residence","2009 ","1","1","0",
"0 s","Permanent Residence","2010 ","3","2","1",
"0 s","Permanent Residence","2011 ","3","1","2",
"0 s","Permanent Residence","2012 ","14","8","6",
"0 s","Permanent Residence","2013 ","35","16","19",
"0 s","Permanent Residence","2014 ","37","17","20",
"0 s","Permanent Residence","2015 ","58","34","24",
"0 s","Permanent Residence","2016 ","35","16","19",
"0 s","Permanent Residence","2017 ","56","29","27",
"0 s","Permanent Residence","2018 ","33","19","14",
"0 s","Permanent Residence","2019 ","39","19","20",
"0 s","Marriage Immigration","2012 ","1","","1",
"0 s","Marriage Immigration","2014 ","1","1","0",
"1 s","Total","2000 ","987","499","488",
"1 s","Total","2001 ","1094","590","504",
"1 s","Total","2002 ","1161","639","522",
"1 s","Total","2003 ","1098","547","551",
"1 s","Total","2004 ","1152","595","557",
"1 s","Total","2005 ","1170","609","561",
"1 s","Total","2006 ","1259","689","570",
"1 s","Total","2007 ","1279","649","630",
"1 s","Total","2008 ","1623","825","798",
"1 s","Total","2009 ","1782","906","876",
"1 s","Total","2010 ","1993","995","998",
"1 s","Total","2011 ","2091","1067","1024",
"1 s","Total","2012 ","2360","1201","1159",
"1 s","Total","2013 ","2713","1416","1297",
"1 s","Total","2014 ","2967","1505","1462",
"1 s","Total","2015 ","2912","1412","1500",
"1 s","Total","2016 ","2879","1500","1379",
"1 s","Total","2017 ","2774","1461","1313",
"1 s","Total","2018 ","3048","1518","1530",
"1 s","Total","2019 ","2854","1442","1412",
"1 s","Sightseeing Pass","2000 ","259","138","121",
"1 s","Sightseeing Pass","2001 ","351","195","156",
"1 s","Sightseeing Pass","2002 ","410","231","179",
"1 s","Sightseeing Pass","2003 ","405","194","211",
"1 s","Sightseeing Pass","2004 ","464","234","230",
"1 s","Sightseeing Pass","2005 ","483","242","241",
"1 s","Sightseeing Pass","2006 ","520","278","242",
"1 s","Sightseeing Pass","2007 ","519","247","272",
"1 s","Sightseeing Pass","2008 ","746","376","370",
"1 s","Sightseeing Pass","2009 ","939","476","463",
"1 s","Sightseeing Pass","2010 ","1045","509","536",
"1 s","Sightseeing Pass","2011 ","997","492","505",
"1 s","Sightseeing Pass","2012 ","1103","550","553",
"1 s","Sightseeing Pass","2013 ","1099","547","552",
"1 s","Sightseeing Pass","2014 ","1060","536","524",
"1 s","Sightseeing Pass","2015 ","956","459","497",
"1 s","Sightseeing Pass","2016 ","788","409","379",
"1 s","Sightseeing Pass","2017 ","778","399","379",
"1 s","Sightseeing Pass","2018 ","866","421","445",
"1 s","Sightseeing Pass","2019 ","803","400","403",
"1 s","Short-term Business","2000 ","5","2","3",
"1 s","Short-term Business","2001 ","5","3","2",
"1 s","Short-term Business","2002 ","2","1","1",
"1 s","Short-term Business","2003 ","1","1","0",
"1 s","Short-term Business","2004 ","2","0","2",
"1 s","Short-term Business","2005 ","2","2","0",
"1 s","Short-term Business","2006 ","1","1","0",
"1 s","Short-term Business","2007 ","1","0","1",
"1 s","Short-term Business","2008 ","4","1","3",
"1 s","Short-term Business","2009 ","4","2","2",
"1 s","Short-term Business","2010 ","1","1","0",
"1 s","Short-term Visitors","2000 ","220","118","102",
"1 s","Short-term Visitors","2001 ","246","139","107",
"1 s","Short-term Visitors","2002 ","248","128","120",
"1 s","Short-term Visitors","2003 ","236","127","109",
"1 s","Short-term Visitors","2004 ","229","113","116",
"1 s","Short-term Visitors","2005 ","251","142","109",
"1 s","Short-term Visitors","2006 ","255","146","109",
"1 s","Short-term Visitors","2007 ","308","159","149",
"1 s","Short-term Visitors","2008 ","424","211","213",
"1 s","Short-term Visitors","2009 ","291","137","154",
"1 s","Short-term Visitors","2010 ","238","117","121",
"1 s","Short-term Visitors","2011 ","423","230","193",
"1 s","Short-term Visitors","2012 ","577","311","266",
"1 s","Short-term Visitors","2013 ","810","426","384",
"1 s","Short-term Visitors","2014 ","917","478","439",
"1 s","Short-term Visitors","2015 ","989","485","504",
"1 s","Short-term Visitors","2016 ","879","477","402",
"1 s","Short-term Visitors","2017 ","722","379","343",
"1 s","Short-term Visitors","2018 ","627","298","329",
"1 s","Short-term Visitors","2019 ","553","285","268",
"1 s","Short-term Employment","2000 ","0","0","0",
"1 s","Short-term Employment","2001 ","0","0","0",
"1 s","Short-term Employment","2002 ","0","0","0",
"1 s","Short-term Employment","2003 ","0","0","0",
"1 s","Short-term Employment","2004 ","0","0","0",
"1 s","Short-term Employment","2005 ","0","0","0",
"1 s","Short-term Employment","2006 ","0","0","0",
"1 s","Short-term Employment","2007 ","0","0","0",
"1 s","Short-term Employment","2008 ","0","0","0",
"1 s","Short-term Employment","2009 ","0","0","0",
"1 s","Short-term Employment","2010 ","0","0","0",
"1 s","Job Seeking","2000 ","0","0","0",
"1 s","Job Seeking","2001 ","0","0","0",
"1 s","Job Seeking","2002 ","0","0","0",
"1 s","Job Seeking","2003 ","0","0","0",
"1 s","Job Seeking","2004 ","0","0","0",
"1 s","Job Seeking","2005 ","0","0","0",
"1 s","Job Seeking","2006 ","0","0","0",
"1 s","Job Seeking","2007 ","0","0","0",
"1 s","Job Seeking","2008 ","0","0","0",
"1 s","Job Seeking","2009 ","0","0","0",
"1 s","Job Seeking","2010 ","0","0","0",
"1 s","study","2000 ","0","0","0",
"1 s","study","2001 ","0","0","0",
"1 s","study","2002 ","0","0","0",
"1 s","study","2003 ","0","0","0",
"1 s","study","2004 ","0","0","0",
"1 s","study","2005 ","0","0","0",
"1 s","study","2006 ","1","1","0",
"1 s","study","2007 ","1","1","0",
"1 s","study","2008 ","0","0","0",
"1 s","study","2009 ","0","0","0",
"1 s","study","2010 ","0","0","0",
"1 s","General Trainees","2000 ","0","0","0",
"1 s","General Trainees","2001 ","0","0","0",
"1 s","General Trainees","2002 ","0","0","0",
"1 s","General Trainees","2003 ","0","0","0",
"1 s","General Trainees","2004 ","0","0","0",
"1 s","General Trainees","2005 ","1","0","1",
"1 s","General Trainees","2006 ","0","0","0",
"1 s","General Trainees","2007 ","0","0","0",
"1 s","General Trainees","2008 ","0","0","0",
"1 s","General Trainees","2009 ","0","0","0",
"1 s","General Trainees","2010 ","0","0","0",
"1 s","Religious Activities","2000 ","0","0","0",
"1 s","Religious Activities","2001 ","0","0","0",
"1 s","Religious Activities","2002 ","0","0","0",
"1 s","Religious Activities","2003 ","0","0","0",
"1 s","Religious Activities","2004 ","0","0","0",
"1 s","Religious Activities","2005 ","0","0","0",
"1 s","Religious Activities","2006 ","0","0","0",
"1 s","Religious Activities","2007 ","0","0","0",
"1 s","Religious Activities","2008 ","0","0","0",
"1 s","Religious Activities","2009 ","0","0","0",
"1 s","Religious Activities","2010 ","0","0","0",
"1 s","Investors","2000 ","0","0","0",
"1 s","Investors","2001 ","0","0","0",
"1 s","Investors","2002 ","0","0","0",
"1 s","Investors","2003 ","1","0","1",
"1 s","Investors","2004 ","0","0","0",
"1 s","Investors","2005 ","0","0","0",
"1 s","Investors","2006 ","1","1","0",
"1 s","Investors","2007 ","0","0","0",
"1 s","Investors","2008 ","0","0","0",
"1 s","Investors","2009 ","0","0","0",
"1 s","Investors","2010 ","0","0","0",
"1 s","Trade and Business","2000 ","1","0","1",
"1 s","Trade and Business","2001 ","0","0","0",
"1 s","Trade and Business","2002 ","0","0","0",
"1 s","Trade and Business","2003 ","0","0","0",
"1 s","Trade and Business","2004 ","0","0","0",
"1 s","Trade and Business","2005 ","0","0","0",
"1 s","Trade and Business","2006 ","0","0","0",
"1 s","Trade and Business","2007 ","0","0","0",
"1 s","Trade and Business","2008 ","0","0","0",
"1 s","Trade and Business","2009 ","0","0","0",
"1 s","Trade and Business","2010 ","0","0","0",
"1 s","Trade and Business","2011 ","1","1","",
"1 s","Research","2000 ","0","0","0",
"1 s","Research","2001 ","0","0","0",
"1 s","Research","2002 ","0","0","0",
"1 s","Research","2003 ","0","0","0",
"1 s","Research","2004 ","0","0","0",
"1 s","Research","2005 ","0","0","0",
"1 s","Research","2006 ","0","0","0",
"1 s","Research","2007 ","0","0","0",
"1 s","Research","2008 ","1","0","1",
"1 s","Research","2009 ","0","0","0",
"1 s","Research","2010 ","0","0","0",
"1 s","Art and Entertainment","2000 ","0","0","0",
"1 s","Art and Entertainment","2001 ","0","0","0",
"1 s","Art and Entertainment","2002 ","0","0","0",
"1 s","Art and Entertainment","2003 ","0","0","0",
"1 s","Art and Entertainment","2004 ","0","0","0",
"1 s","Art and Entertainment","2005 ","0","0","0",
"1 s","Art and Entertainment","2006 ","0","0","0",
"1 s","Art and Entertainment","2007 ","0","0","0",
"1 s","Art and Entertainment","2008 ","0","0","0",
"1 s","Art and Entertainment","2009 ","0","0","0",
"1 s","Art and Entertainment","2010 ","0","0","0",
"1 s","Unskilled Employment","2000 ","0","0","0",
"1 s","Unskilled Employment","2001 ","0","0","0",
"1 s","Unskilled Employment","2002 ","0","0","0",
"1 s","Unskilled Employment","2003 ","0","0","0",
"1 s","Unskilled Employment","2004 ","0","0","0",
"1 s","Unskilled Employment","2005 ","0","0","0",
"1 s","Unskilled Employment","2006 ","0","0","0",
"1 s","Unskilled Employment","2007 ","0","0","0",
"1 s","Unskilled Employment","2008 ","0","0","0",
"1 s","Unskilled Employment","2009 ","0","0","0",
"1 s","Unskilled Employment","2010 ","0","0","0",
"1 s","Visiting and Joining Family","2000 ","285","133","152",
"1 s","Visiting and Joining Family","2001 ","257","133","124",
"1 s","Visiting and Joining Family","2002 ","316","179","137",
"1 s","Visiting and Joining Family","2003 ","245","118","127",
"1 s","Visiting and Joining Family","2004 ","220","119","101",
"1 s","Visiting and Joining Family","2005 ","181","95","86",
"1 s","Visiting and Joining Family","2006 ","193","115","78",
"1 s","Visiting and Joining Family","2007 ","189","100","89",
"1 s","Visiting and Joining Family","2008 ","184","100","84",
"1 s","Visiting and Joining Family","2009 ","233","121","112",
"1 s","Visiting and Joining Family","2010 ","287","149","138",
"1 s","Visiting and Joining Family","2011 ","205","97","108",
"1 s","Visiting and Joining Family","2012 ","148","74","74",
"1 s","Visiting and Joining Family","2013 ","205","113","92",
"1 s","Visiting and Joining Family","2014 ","353","170","183",
"1 s","Visiting and Joining Family","2015 ","311","160","151",
"1 s","Visiting and Joining Family","2016 ","503","241","262",
"1 s","Visiting and Joining Family","2017 ","597","325","272",
"1 s","Visiting and Joining Family","2018 ","721","366","355",
"1 s","Visiting and Joining Family","2019 ","744","370","374",
"1 s","Overseas Koreans","2000 ","21","15","6",
"1 s","Overseas Koreans","2001 ","14","10","4",
"1 s","Overseas Koreans","2002 ","9","6","3",
"1 s","Overseas Koreans","2003 ","7","4","3",
"1 s","Overseas Koreans","2004 ","2","1","1",
"1 s","Overseas Koreans","2005 ","10","3","7",
"1 s","Overseas Koreans","2006 ","4","0","4",
"1 s","Overseas Koreans","2007 ","4","3","1",
"1 s","Overseas Koreans","2008 ","6","2","4",
"1 s","Overseas Koreans","2009 ","6","4","2",
"1 s","Overseas Koreans","2010 ","36","17","19",
"1 s","Overseas Koreans","2011 ","56","27","29",
"1 s","Overseas Koreans","2012 ","33","14","19",
"1 s","Overseas Koreans","2013 ","22","11","11",
"1 s","Overseas Koreans","2014 ","15","7","8",
"1 s","Overseas Koreans","2015 ","16","9","7",
"1 s","Overseas Koreans","2016 ","18","14","4",
"1 s","Overseas Koreans","2017 ","16","7","9",
"1 s","Overseas Koreans","2018 ","11","3","8",
"1 s","Overseas Koreans","2019 ","22","9","13",
"1 s","Permanent Residence","2000 ","0","0","0",
"1 s","Permanent Residence","2001 ","0","0","0",
"1 s","Permanent Residence","2002 ","0","0","0",
"1 s","Permanent Residence","2003 ","0","0","0",
"1 s","Permanent Residence","2004 ","1","1","0",
"1 s","Permanent Residence","2005 ","0","0","0",
"1 s","Permanent Residence","2006 ","2","2","0",
"1 s","Permanent Residence","2007 ","5","4","1",
"1 s","Permanent Residence","2008 ","0","0","0",
"1 s","Permanent Residence","2009 ","3","1","2",
"1 s","Permanent Residence","2010 ","0","0","0",
"1 s","Permanent Residence","2011 ","4","1","3",
"1 s","Permanent Residence","2012 ","22","9","13",
"1 s","Permanent Residence","2013 ","40","22","18",
"1 s","Permanent Residence","2014 ","60","29","31",
"1 s","Permanent Residence","2015 ","79","40","39",
"1 s","Permanent Residence","2016 ","86","42","44",
"1 s","Permanent Residence","2017 ","68","30","38",
"1 s","Permanent Residence","2018 ","116","64","52",
"1 s","Permanent Residence","2019 ","73","41","32",
"2 s","Total","2000 ","812","452","360",
"2 s","Total","2001 ","786","376","410",
"2 s","Total","2002 ","881","454","427",
"2 s","Total","2003 ","844","418","426",
"2 s","Total","2004 ","836","453","383",
"2 s","Total","2005 ","888","462","426",
"2 s","Total","2006 ","998","499","499",
"2 s","Total","2007 ","1044","577","467",
"2 s","Total","2008 ","1121","597","524",
"2 s","Total","2009 ","1269","658","611",
"2 s","Total","2010 ","1472","747","725",
"2 s","Total","2011 ","1704","838","866",
"2 s","Total","2012 ","1733","909","824",
"2 s","Total","2013 ","2042","1068","974",
"2 s","Total","2014 ","2230","1134","1096",
"2 s","Total","2015 ","2391","1200","1191",
"2 s","Total","2016 ","2339","1188","1151",
"2 s","Total","2017 ","2199","1124","1075",
"2 s","Total","2018 ","2376","1212","1164",
"2 s","Total","2019 ","2506","1239","1267",
"2 s","Sightseeing Pass","2000 ","187","110","77",
"2 s","Sightseeing Pass","2001 ","243","116","127",
"2 s","Sightseeing Pass","2002 ","273","145","128",
"2 s","Sightseeing Pass","2003 ","277","142","135",
"2 s","Sightseeing Pass","2004 ","287","142","145",
"2 s","Sightseeing Pass","2005 ","307","151","156",
"2 s","Sightseeing Pass","2006 ","364","178","186",
"2 s","Sightseeing Pass","2007 ","391","215","176",
"2 s","Sightseeing Pass","2008 ","445","239","206",
"2 s","Sightseeing Pass","2009 ","596","312","284",
"2 s","Sightseeing Pass","2010 ","688","348","340",
"2 s","Sightseeing Pass","2011 ","699","367","332",
"2 s","Sightseeing Pass","2012 ","732","414","318",
"2 s","Sightseeing Pass","2013 ","694","365","329",
"2 s","Sightseeing Pass","2014 ","620","314","306",
"2 s","Sightseeing Pass","2015 ","629","317","312",
"2 s","Sightseeing Pass","2016 ","498","255","243",
"2 s","Sightseeing Pass","2017 ","454","247","207",
"2 s","Sightseeing Pass","2018 ","538","279","259",
"2 s","Sightseeing Pass","2019 ","599","299","300",
"2 s","Short-term Business","2000 ","3","1","2",
"2 s","Short-term Business","2001 ","2","1","1",
"2 s","Short-term Business","2002 ","2","1","1",
"2 s","Short-term Business","2003 ","2","1","1",
"2 s","Short-term Business","2004 ","0","0","0",
